fName1,fTrueRank1,fEstRank1,fTrueBin1,fEstBin1
192,123,105,21,18
193,124,122,21,21
194,125,138,21,23
195,126,104,21,18
196,127,128,22,22
203,128,121,22,21
206,129,113,22,19
208,130,132,22,22
209,131,117,22,20
210,132,129,22,22
212,133,136,23,23
214,134,145,23,25
215,135,144,23,24
217,136,131,23,22
218,137,134,23,23
221,138,143,23,24
223,139,133,24,23
225,140,140,24,24
226,141,141,24,24
230,142,137,24,23
231,143,139,24,24
235,144,142,24,24
236,145,162,25,27
237,146,146,25,25
238,147,150,25,25
240,148,148,25,25
243,149,153,25,26
245,150,154,25,26
246,151,149,26,25
247,152,156,26,26
249,153,152,26,26
252,154,147,26,25
254,155,178,26,30
255,156,135,26,23
256,157,167,27,28
258,158,168,27,28
259,159,164,27,28
260,160,169,27,29
262,161,166,27,28
265,162,151,27,26
266,163,158,28,27
267,164,160,28,27
271,165,155,28,26
272,166,159,28,27
273,167,165,28,28
274,168,157,28,27
278,169,177,29,30
279,170,180,29,30
281,171,172,29,29
282,172,170,29,29
285,173,176,29,30
286,174,161,29,27
287,175,190,30,32
289,176,179,30,30
291,177,171,30,29
292,178,174,30,29
293,179,184,30,31
294,180,199,30,34
296,181,195,31,33
297,182,187,31,32
299,183,182,31,31
302,184,181,31,31
303,185,188,31,32
304,186,189,31,32
306,187,200,32,34
307,188,198,32,33
309,189,192,32,32
310,190,173,32,29
313,191,183,32,31
314,192,204,32,34
315,193,194,33,33
316,194,202,33,34
317,195,208,33,35
318,196,205,33,35
321,197,229,33,39
322,198,175,33,30
323,199,210,34,35
325,200,186,34,31
328,201,206,34,35
331,202,213,34,36
332,203,212,34,36
334,204,218,34,37
335,205,248,35,42
336,206,236,35,40
337,207,221,35,37
340,208,251,35,42
342,209,220,35,37
343,210,196,35,33
345,211,217,36,37
347,212,216,36,36
349,213,219,36,37
351,214,224,36,38
352,215,222,36,37
354,216,226,36,38
356,217,265,37,45
357,218,238,37,40
358,219,244,37,41
359,220,259,37,44
360,221,260,37,44
363,222,207,37,35
365,223,243,38,41
368,224,237,38,40
371,225,228,38,38
373,226,250,38,42
382,227,227,38,38
385,228,223,38,38
387,229,274,39,46
389,230,277,39,47
390,231,252,39,42
393,232,235,39,40
395,233,264,39,44
397,234,240,39,40
400,235,284,40,48
403,236,242,40,41
404,237,266,40,45
405,238,246,40,41
406,239,245,40,41
407,240,276,40,46
408,241,281,41,47
413,242,292,41,49
418,243,268,41,45
419,244,279,41,47
421,245,271,41,46
422,246,255,41,43
425,247,298,42,50
426,248,275,42,46
429,249,300,42,50
430,250,285,42,48
432,251,280,42,47
433,252,278,42,47
434,253,254,43,43
435,254,289,43,49
436,255,261,43,44
438,256,287,43,48
440,257,286,43,48
442,258,258,43,43
443,259,299,44,50
444,260,269,44,45
445,261,296,44,50
446,262,282,44,47
450,263,273,44,46
452,264,294,44,49
453,265,256,45,43
454,266,267,45,45
457,267,293,45,49
458,268,263,45,44
460,269,291,45,49
461,270,272,45,46
463,271,270,46,45
465,272,288,46,48
466,273,283,46,48
467,274,247,46,42
468,275,297,46,50
469,276,262,46,44
470,277,253,47,43
471,278,201,47,34
472,279,290,47,49
473,280,191,47,32
474,281,234,47,39
475,282,211,47,36
477,283,193,48,33
479,284,225,48,38
480,285,185,48,31
481,286,163,48,28
482,287,257,48,43
483,288,241,48,41
486,289,249,49,42
487,290,209,49,35
488,291,197,49,33
489,292,239,49,40
490,293,233,49,39
491,294,215,49,36
492,295,295,50,50
494,296,231,50,39
495,297,232,50,39
496,298,203,50,34
497,299,230,50,39
499,300,214,50,36
