fName1,fTrueRank1,fEstRank1,fTrueBin1,fEstBin1
4,1,2,1,1
6,2,3,1,1
7,3,1,1,1
8,4,6,1,1
9,5,5,1,1
12,6,4,1,1
14,7,11,2,2
15,8,15,2,3
16,9,7,2,2
17,10,8,2,2
19,11,13,2,3
20,12,10,2,2
22,13,17,3,3
23,14,19,3,4
24,15,18,3,3
25,16,9,3,2
27,17,14,3,3
28,18,12,3,2
29,19,16,4,3
30,20,29,4,5
31,21,22,4,4
32,22,28,4,5
33,23,20,4,4
34,24,23,4,4
37,25,25,5,5
38,26,39,5,7
39,27,26,5,5
40,28,27,5,5
41,29,21,5,4
42,30,24,5,4
43,31,31,6,6
44,32,46,6,8
45,33,41,6,7
46,34,35,6,6
48,35,36,6,6
50,36,40,6,7
51,37,33,7,6
52,38,34,7,6
53,39,38,7,7
54,40,32,7,6
55,41,30,7,5
57,42,37,7,7
58,43,54,8,9
59,44,49,8,9
60,45,43,8,8
63,46,50,8,9
65,47,45,8,8
67,48,47,8,8
69,49,81,9,14
70,50,42,9,7
71,51,67,9,12
72,52,92,9,16
74,53,82,9,14
76,54,44,9,8
78,55,65,10,11
80,56,52,10,9
82,57,60,10,10
84,58,71,10,12
86,59,55,10,10
88,60,75,10,13
90,61,57,11,10
91,62,73,11,13
94,63,51,11,9
95,64,56,11,10
97,65,48,11,8
100,66,64,11,11
102,67,63,12,11
103,68,61,12,11
106,69,68,12,12
108,70,58,12,10
111,71,59,12,10
112,72,53,12,9
113,73,72,13,12
114,74,78,13,13
115,75,80,13,14
116,76,66,13,11
117,77,69,13,12
118,78,76,13,13
121,79,84,14,14
122,80,74,14,13
123,81,62,14,11
124,82,77,14,13
125,83,70,14,12
126,84,100,14,17
127,85,79,15,14
133,86,91,15,16
135,87,90,15,15
140,88,96,15,16
141,89,103,15,18
142,90,89,15,15
144,91,83,16,14
146,92,88,16,15
148,93,95,16,16
150,94,87,16,15
152,95,130,16,22
153,96,86,16,15
154,97,109,17,19
155,98,102,17,17
156,99,125,17,21
157,100,85,17,15
158,101,94,17,16
159,102,97,17,17
160,103,108,18,18
162,104,101,18,17
164,105,127,18,22
165,106,107,18,18
166,107,115,18,20
167,108,110,18,19
168,109,111,19,19
171,110,123,19,21
172,111,118,19,20
173,112,93,19,16
177,113,98,19,17
180,114,99,19,17
181,115,126,20,21
182,116,124,20,21
183,117,106,20,18
185,118,112,20,19
186,119,116,20,20
188,120,114,20,19
190,121,119,21,20
191,122,120,21,20
