wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
469,277,232,1,1
471,278,67,1,1
472,279,400,1,1
473,280,879,1,2
474,281,31,1,1
475,282,172,1,1
476,283,668,1,2
477,284,850,1,2
479,285,309,1,1
480,286,211,1,1
481,287,278,1,1
482,288,268,1,1
484,289,302,1,1
485,290,863,1,2
488,291,94,1,1
489,292,867,1,2
491,293,823,1,2
492,294,336,1,1
494,295,474,1,1
495,296,320,1,1
497,297,346,1,1
499,298,202,1,1
500,299,155,1,1
501,300,337,1,1
503,301,124,1,1
505,302,153,1,1
506,303,638,1,2
509,304,455,1,1
510,305,546,1,1
513,306,101,1,1
515,307,654,1,2
517,308,156,1,1
518,309,899,1,2
519,310,58,1,1
520,311,527,1,1
521,312,858,1,2
522,313,49,1,1
523,314,715,1,2
524,315,897,1,2
525,316,177,1,1
526,317,4,1,1
529,318,162,1,1
534,319,512,1,1
535,320,230,1,1
539,321,151,1,1
540,322,315,1,1
542,323,509,1,1
543,324,171,1,1
544,325,71,1,1
545,326,887,1,2
546,327,880,1,2
547,328,125,1,1
549,329,718,1,2
550,330,391,1,1
551,331,440,1,1
553,332,130,1,1
555,333,420,1,1
557,334,24,1,1
559,335,54,1,1
560,336,633,1,2
561,337,68,1,1
562,338,30,1,1
563,339,824,1,2
566,340,556,1,1
567,341,643,1,2
568,342,95,1,1
572,343,366,1,1
573,344,881,1,2
576,345,84,1,1
577,346,839,1,2
578,347,26,1,1
579,348,296,1,1
584,349,895,1,2
585,350,213,1,1
589,351,499,1,1
590,352,900,1,2
591,353,560,1,1
593,354,644,1,2
596,355,572,1,1
597,356,386,1,1
599,357,882,1,2
600,358,51,1,1
602,359,159,1,1
603,360,717,1,2
604,361,293,1,1
606,362,816,1,2
607,363,14,1,1
608,364,825,1,2
610,365,116,1,1
611,366,21,1,1
613,367,840,1,2
614,368,160,1,1
615,369,5,1,1
618,370,236,1,1
623,371,826,1,2
626,372,475,1,1
628,373,352,1,1
629,374,416,1,1
630,375,525,1,1
631,376,631,1,2
632,377,85,1,1
633,378,573,1,1
634,379,408,1,1
635,380,744,1,2
636,381,443,1,1
638,382,92,1,1
640,383,115,1,1
641,384,859,1,2
642,385,353,1,1
644,386,661,1,2
645,387,105,1,1
648,388,524,1,1
649,389,550,1,1
651,390,176,1,1
655,391,883,1,2
656,392,243,1,1
657,393,194,1,1
659,394,157,1,1
660,395,33,1,1
664,396,403,1,1
666,397,493,1,1
667,398,106,1,1
670,399,327,1,1
671,400,182,1,1
672,401,841,1,2
673,402,827,1,2
675,403,482,1,1
677,404,645,1,2
680,405,170,1,1
681,406,646,1,2
682,407,497,1,1
683,408,677,1,2
686,409,91,1,1
687,410,672,1,2
689,411,884,1,2
691,412,549,1,1
692,413,10,1,1
694,414,675,1,2
695,415,514,1,1
699,416,406,1,1
701,417,2,1,1
703,418,422,1,1
704,419,476,1,1
706,420,901,1,2
707,421,235,1,1
710,422,166,1,1
711,423,338,1,1
712,424,842,1,2
713,425,294,1,1
714,426,851,1,2
715,427,382,1,1
717,428,507,1,1
721,429,35,1,1
722,430,165,1,1
724,431,438,1,1
734,432,187,1,1
735,433,635,1,2
